date,open,high,low,close,volume,money
2019-05-21,2.4,2.51,2.4,2.45,13345970.0,32797351.6
2019-05-22,2.46,2.53,2.43,2.48,8216945.0,20393556.15
2019-05-23,2.47,2.47,2.36,2.37,9437760.0,22711908.6
2019-05-24,2.34,2.48,2.32,2.43,11283645.0,26892472.95
2019-05-27,2.42,2.49,2.4,2.44,10056150.0,24611495.19
2019-05-28,2.4,2.49,2.37,2.43,11717604.0,28695135.95
2019-05-29,2.41,2.45,2.38,2.4,7277603.0,17604226.84
2019-05-30,2.39,2.39,2.34,2.37,9307570.0,21961924.0
2019-05-31,2.35,2.41,2.35,2.38,5921090.0,14134029.8
2019-06-03,2.38,2.4,2.33,2.33,6514640.0,15349281.9
2019-06-04,2.32,2.34,2.21,2.21,12331720.0,27636903.5
2019-06-05,2.22,2.24,2.13,2.15,11703214.0,25587750.86
2019-06-06,2.14,2.16,2.04,2.04,12076810.0,24935459.4
2019-06-10,2.04,2.04,1.94,1.94,15940319.0,31347009.9
2019-06-11,1.91,2.04,1.89,2.04,17448578.0,34589081.34
2019-06-12,2.02,2.13,2.01,2.05,14128609.0,29325486.61
2019-06-13,2.05,2.15,2.03,2.12,14949510.0,31499151.7
2019-06-14,2.12,2.14,2.01,2.04,16156530.0,33388405.9
2019-06-17,2.02,2.03,1.94,1.94,12543600.0,24671267.7
2019-06-18,1.94,2.0,1.94,1.98,11122500.0,21929563.5
2019-06-19,1.99,2.02,1.95,1.96,11010460.0,21753793.1
2019-06-20,1.97,1.97,1.86,1.9,17292783.0,32578417.47
2019-06-21,1.95,1.99,1.92,1.99,20227585.0,39711533.87
2019-06-24,1.98,1.98,1.91,1.95,11697600.0,22789893.4
2019-06-25,1.95,1.99,1.93,1.98,11254950.0,22069516.3
2019-06-26,1.96,2.05,1.95,2.04,15168128.0,30591014.02
2019-06-27,2.01,2.05,1.99,2.01,14012855.0,28260644.05
2019-06-28,2.02,2.04,1.99,2.02,12683178.0,25548136.88
2019-07-01,2.04,2.12,2.03,2.12,15725029.0,32852188.59
2019-07-02,2.16,2.23,2.13,2.23,31768174.0,70059735.76
2019-07-03,2.24,2.33,2.12,2.13,31390120.0,69287548.6
2019-07-04,2.11,2.19,2.11,2.15,14190181.0,30540707.38
2019-07-05,2.16,2.16,2.09,2.12,9782710.0,20763447.9
2019-07-08,2.04,2.04,2.01,2.01,7098900.0,14297694.0
2019-07-09,1.95,1.99,1.92,1.98,9086134.0,17808114.14
2019-07-10,1.98,2.02,1.98,1.99,6308860.0,12600582.8
2019-07-11,2.01,2.02,1.96,1.98,6525010.0,12985417.0
2019-07-12,1.97,1.99,1.94,1.97,5198530.0,10237011.1
2019-07-15,1.97,1.98,1.88,1.97,5984424.0,11627886.28
2019-07-16,1.97,2.06,1.96,2.03,9613180.0,19395466.6
2019-07-17,2.01,2.05,2.0,2.01,6944550.0,14056430.5
2019-07-18,2.0,2.01,1.96,1.96,4454660.0,8792245.6
2019-07-19,1.96,2.0,1.95,1.97,5071734.0,10017889.64
2019-07-22,1.95,1.97,1.87,1.87,13945200.0,26410315.0
2019-07-23,1.87,1.92,1.86,1.91,5830183.0,11026674.92
2019-07-24,1.9,1.95,1.9,1.93,5825240.0,11251906.8
2019-07-25,1.93,1.97,1.92,1.95,5076580.0,9887008.6
2019-07-26,1.94,1.97,1.92,1.97,5461601.0,10631727.14
2019-07-29,1.96,1.96,1.93,1.94,3561465.0,6912920.1
2019-07-30,1.93,1.96,1.93,1.94,4121960.0,8030350.8
2019-07-31,1.92,1.93,1.89,1.9,5828580.0,11123358.8
2019-08-01,1.9,1.99,1.89,1.93,7741420.0,15029990.8
2019-08-02,1.9,1.91,1.87,1.9,7163730.0,13511046.7
2019-08-05,1.88,1.92,1.87,1.88,5082690.0,9613560.3
2019-08-06,1.84,1.84,1.79,1.8,10069373.0,18139017.97
2019-08-07,1.8,1.82,1.79,1.8,4638952.0,8379089.8
2019-08-08,1.8,1.83,1.8,1.81,3219970.0,5834858.0
2019-08-09,1.81,1.84,1.8,1.81,4669820.0,8503618.0
2019-08-12,1.82,1.84,1.79,1.82,6427330.0,11617136.3
2019-08-13,1.8,1.84,1.78,1.83,5475148.0,9920922.18
2019-08-14,1.84,1.86,1.83,1.84,5140842.0,9471324.16
2019-08-15,1.8,1.83,1.79,1.82,4864530.0,8779820.6
2019-08-16,1.82,1.91,1.81,1.91,12897190.0,24423883.0
2019-08-19,1.89,1.93,1.88,1.93,11045561.0,21134304.51
2019-08-20,1.93,1.94,1.91,1.93,6483190.0,12454570.7
2019-08-21,1.92,1.93,1.9,1.9,6506601.0,12445870.9
2019-08-22,1.91,1.94,1.9,1.92,6564305.0,12571647.52
2019-08-23,1.91,1.94,1.9,1.91,4940900.0,9480613.0
2019-08-26,1.86,1.9,1.84,1.89,5692400.0,10639837.9
2019-08-27,1.9,1.98,1.89,1.98,14556551.0,28676093.17
2019-08-28,1.99,2.01,1.94,1.95,9487879.0,18653487.35
2019-08-29,1.95,2.01,1.95,1.97,8516073.0,16873161.61
2019-08-30,1.98,2.07,1.97,2.06,16012063.0,32609744.24
2019-09-02,2.05,2.07,2.02,2.04,8016245.0,16377806.35
2019-09-03,2.03,2.06,2.0,2.02,6294364.0,12748852.38
2019-09-04,2.02,2.02,1.96,2.0,9367740.0,18607969.9
2019-09-05,2.0,2.08,2.0,2.02,10877792.0,22203068.38
2019-09-06,2.03,2.04,2.0,2.02,4126412.0,8310654.12
2019-09-09,2.05,2.06,2.0,2.03,6099800.0,12330147.0
2019-09-10,2.01,2.11,2.01,2.05,10851584.0,22308702.71
2019-09-11,2.06,2.15,2.05,2.13,14511094.0,30534840.82
2019-09-12,2.13,2.22,2.12,2.18,12287731.0,26718551.98
2019-09-16,2.19,2.19,2.14,2.15,9109362.0,19644791.68
2019-09-17,2.15,2.2,2.1,2.12,9049291.0,19429607.74
2019-09-18,2.11,2.23,2.11,2.23,18066118.0,39846018.03
2019-09-19,2.27,2.28,2.22,2.24,7761772.0,17378551.46
2019-09-20,2.23,2.29,2.19,2.21,8223304.0,18283860.84
2019-09-23,2.2,2.2,2.16,2.18,5671384.0,12342635.28
2019-09-24,2.19,2.2,2.16,2.18,4360489.0,9509820.13
2019-09-25,2.17,2.17,2.07,2.09,11719254.0,24691200.92
2019-09-26,2.09,2.12,2.06,2.08,7770550.0,16227518.0
