date,open,high,low,close,volume,money
2019-04-22,6.16,6.17,6.04,6.05,8042705.0,49140011.08
2019-04-23,6.02,6.06,5.93,5.98,7668184.0,46018698.48
2019-04-24,5.97,6.04,5.94,6.02,5178620.0,31036632.99
2019-04-25,6.01,6.02,5.81,5.82,8443000.0,49942197.35
2019-04-26,5.85,5.87,5.76,5.82,5816900.0,33843058.0
2019-04-29,5.77,5.86,5.6,5.63,9383258.0,53752938.96
2019-04-30,5.58,5.74,5.58,5.74,6920535.0,39235158.43
2019-05-06,5.63,5.66,5.34,5.47,11320521.0,62112956.54
2019-05-07,5.51,5.56,5.45,5.53,6971221.0,38360520.67
2019-05-08,5.45,5.59,5.4,5.49,6820873.0,37459331.12
2019-05-09,5.41,5.74,5.4,5.62,12699928.0,71354489.07
2019-05-10,5.65,5.78,5.62,5.76,11141557.0,63763608.13
2019-05-13,5.71,5.99,5.69,5.86,9157100.0,53571169.46
2019-05-14,5.81,5.88,5.68,5.69,6815729.0,39235544.0
2019-05-15,5.74,5.85,5.7,5.82,6530085.0,37683592.09
2019-05-16,5.8,5.84,5.76,5.79,3680519.0,21298887.82
2019-05-17,5.77,5.79,5.45,5.49,9538337.0,53273570.35
2019-05-20,5.45,5.6,5.42,5.56,3913170.0,21463094.9
2019-05-21,5.54,5.63,5.52,5.61,3869359.0,21651200.9
2019-05-22,5.6,5.63,5.52,5.53,3110420.0,17353314.28
2019-05-23,5.51,5.56,5.48,5.49,2955511.0,16305656.94
2019-05-24,5.49,5.54,5.44,5.48,2744402.0,15053857.9
2019-05-27,5.48,5.62,5.45,5.61,3094310.0,17153829.27
2019-05-28,5.6,5.72,5.56,5.6,4014288.0,22668663.06
2019-05-29,5.5,5.56,5.46,5.51,2525100.0,13913019.0
2019-05-30,5.52,5.52,5.43,5.46,2535879.0,13862137.55
2019-05-31,5.48,5.53,5.46,5.49,1841644.0,10126140.74
2019-06-03,5.47,5.51,5.41,5.49,2968301.0,16235134.05
2019-06-04,5.49,5.52,5.4,5.52,3981700.0,21739081.0
2019-06-05,5.51,5.59,5.51,5.57,4098701.0,22788309.56
2019-06-06,5.56,5.57,5.39,5.47,3718001.0,20335445.47
2019-06-10,5.45,5.54,5.45,5.53,2507700.0,13802592.96
2019-06-11,5.53,5.67,5.53,5.65,4636392.0,26090053.28
2019-06-12,5.65,5.68,5.57,5.58,3093500.0,17365221.99
2019-06-13,5.61,5.62,5.55,5.59,2047100.0,11426697.0
2019-06-14,5.58,5.67,5.54,5.55,2925600.0,16392389.0
2019-06-17,5.55,5.6,5.5,5.56,2518481.0,13949643.95
