date,open,high,low,close,volume,money
2019-07-25,7.05,7.09,6.92,7.06,5030442.0,35110842.0
2019-07-26,7.0,7.0,6.8,6.84,4452000.0,30705785.0
2019-07-29,6.73,6.82,6.65,6.73,3265201.0,21954281.0
2019-07-30,6.72,6.81,6.7,6.7,2952100.0,19925738.0
2019-07-31,6.72,6.78,6.66,6.74,2405400.0,16179496.0
2019-08-01,6.68,6.84,6.68,6.76,2353201.0,15933107.0
2019-08-02,6.65,6.65,6.22,6.39,5085876.0,32685524.0
2019-08-05,6.38,6.38,6.22,6.25,2204646.0,13872853.0
2019-08-06,6.07,6.15,5.85,6.05,3410517.0,20480144.0
2019-08-07,6.07,6.16,6.01,6.04,1611800.0,9788336.0
2019-08-08,6.12,6.14,6.04,6.09,1231400.0,7495934.0
2019-08-09,6.1,6.19,5.93,5.99,1727670.0,10434618.0
2019-08-12,5.99,6.14,5.99,6.14,1866766.0,11341106.0
2019-08-13,6.08,6.2,6.01,6.17,1933701.0,11857921.0
2019-08-14,6.26,6.27,6.1,6.11,1700300.0,10499089.0
2019-08-15,6.0,6.19,5.94,6.18,1613600.0,9808925.0
2019-08-16,6.15,6.22,6.15,6.16,1380351.0,8526500.0
2019-08-19,6.17,6.32,6.16,6.3,2203490.0,13765984.0
2019-08-20,6.3,6.37,6.26,6.28,1893713.0,11944007.0
2019-08-21,6.26,6.34,6.22,6.26,1529364.0,9595955.0
2019-08-22,6.24,6.28,6.15,6.23,1891301.0,11753884.0
2019-08-23,6.26,6.26,6.18,6.23,1515970.0,9441857.0
2019-08-26,6.15,6.15,6.07,6.1,1608101.0,9817822.0
2019-08-27,6.12,6.4,6.12,6.38,4066553.0,25563706.0
2019-08-28,6.37,6.38,6.22,6.26,3355900.0,21038801.0
2019-08-29,6.24,6.26,6.18,6.21,2255800.0,14023601.0
2019-08-30,6.22,6.25,6.05,6.07,2007700.0,12376745.0
2019-09-02,6.1,6.27,6.1,6.24,2155600.0,13370763.0
2019-09-03,6.27,6.27,6.19,6.26,2326370.0,14462829.0
2019-09-04,6.23,6.34,6.22,6.3,2579246.0,16245897.0
2019-09-05,6.36,6.41,6.33,6.37,3336607.0,21274077.0
2019-09-06,6.44,6.44,6.31,6.37,1900801.0,12068394.0
2019-09-09,6.39,6.61,6.36,6.57,4360540.0,28478418.0
2019-09-10,6.58,6.71,6.53,6.65,2673740.0,17739543.0
2019-09-11,6.64,7.11,6.64,6.74,4905341.0,33651387.0
2019-09-12,6.76,6.89,6.67,6.74,3445452.0,23270861.0
2019-09-16,6.74,6.83,6.67,6.69,2241600.0,15077335.0
2019-09-17,6.69,6.71,6.45,6.54,2879905.0,18790095.0
2019-09-18,6.62,6.62,6.49,6.5,1377600.0,8996911.0
2019-09-19,6.49,6.61,6.44,6.59,1460300.0,9554844.0
2019-09-20,6.65,6.65,6.53,6.57,1186000.0,7802279.0
2019-09-23,6.58,6.91,6.42,6.51,3221000.0,21310876.0
