date,open,high,low,close,volume,money
2019-11-25,13.52,16.23,13.52,16.23,87225.0,1410431.75
2019-11-26,17.85,17.85,17.85,17.85,19606.0,349967.1
2019-11-27,19.64,19.64,19.64,19.64,41079.0,806791.56
2019-11-28,21.6,21.6,21.6,21.6,56749.0,1225778.4
2019-11-29,23.76,23.76,23.76,23.76,200642.0,4767253.92
2019-12-02,26.14,26.14,26.14,26.14,63990.0,1672698.6
2019-12-03,28.75,28.75,28.75,28.75,102727.0,2953401.25
2019-12-04,31.63,31.63,31.63,31.63,663869.0,20998176.47
2019-12-05,34.79,34.79,34.79,34.79,237463.0,8261337.77
2019-12-06,38.27,38.27,38.27,38.27,157100.0,6012217.0
2019-12-09,42.1,42.1,42.1,42.1,203450.0,8565245.0
2019-12-10,46.31,46.31,46.31,46.31,156152.0,7231399.12
2019-12-11,50.94,50.94,50.94,50.94,148766.0,7578140.04
2019-12-12,56.03,56.03,45.85,45.85,19721748.0,969742798.79
2019-12-13,45.02,45.44,43.58,44.65,12390863.0,552911947.07
2019-12-16,44.8,45.6,44.19,45.35,8354505.0,375531597.25
2019-12-17,44.99,46.38,44.52,45.15,8915511.0,404939088.27
2019-12-18,45.15,49.67,45.0,49.67,10268652.0,489535757.74
2019-12-19,51.1,51.65,45.0,45.71,13038558.0,624660125.71
2019-12-20,44.22,44.89,41.4,41.42,10205063.0,437454975.17
2019-12-23,41.65,42.44,41.09,41.24,5263558.0,219821426.02
2019-12-24,42.01,43.4,41.84,42.5,6256624.0,265839140.83
2019-12-25,42.17,42.41,41.28,41.99,5025978.0,209974470.62
2019-12-26,42.42,44.0,42.05,42.99,6981370.0,301856543.38
2019-12-27,42.46,44.17,42.3,43.6,6802437.0,295020722.59
2019-12-30,43.26,43.28,39.24,39.83,6608190.0,266171745.31
2019-12-31,39.82,41.45,39.66,40.08,4038845.0,162722963.55
2020-01-02,40.42,42.48,40.09,41.8,4828603.0,199707830.18
2020-01-03,42.0,42.49,41.23,41.35,4023170.0,167817277.02
2020-01-06,41.22,43.5,40.86,43.03,5863639.0,248930300.02
2020-01-07,42.9,43.96,42.46,42.83,5039793.0,217363449.98
2020-01-08,42.68,44.92,42.42,42.91,7157958.0,313167918.32
2020-01-09,44.51,45.6,43.35,43.5,6135826.0,272019818.61
2020-01-10,43.19,43.5,41.68,42.16,4888747.0,207508713.8
2020-01-13,42.21,43.95,42.21,43.81,4884454.0,211903356.59
2020-01-14,44.3,45.93,43.36,45.38,7832844.0,353067796.11
2020-01-15,44.21,44.72,43.34,43.98,5102878.0,224039765.0
2020-01-16,44.3,45.36,43.95,44.93,5151666.0,230599452.0
2020-01-17,44.86,45.5,43.46,43.54,4522830.0,199889894.12
2020-01-20,43.02,43.6,42.18,43.34,3309834.0,142275420.16
2020-01-21,43.12,43.69,41.96,41.96,3562509.0,152479145.84
2020-01-22,41.5,42.36,41.1,41.56,3340336.0,139316641.07
2020-01-23,40.88,40.9,37.4,37.46,5951377.0,231941697.08
2020-02-03,33.71,33.71,33.71,33.71,351200.0,11838952.0
2020-02-04,30.34,32.83,30.34,32.11,4042022.0,128615996.46
2020-02-05,33.0,35.32,32.8,35.32,5529935.0,192143268.05
2020-02-06,34.16,35.89,34.16,35.39,5167302.0,180895686.46
2020-02-07,35.31,36.36,34.89,36.03,3850497.0,137389475.62
2020-02-10,35.83,37.66,35.53,37.5,3444615.0,126230238.32
2020-02-11,37.28,37.66,36.48,37.03,3017472.0,111489323.56
2020-02-12,37.0,37.86,36.53,37.4,2663495.0,99545667.86
2020-02-13,37.09,37.5,36.01,36.74,2856365.0,104798339.73
2020-02-14,36.68,38.19,36.56,37.3,2965487.0,111020681.83
2020-02-17,37.5,38.78,37.12,38.4,3594128.0,136998275.32
2020-02-18,38.02,41.35,38.02,40.35,5185058.0,207317825.31
2020-02-19,40.1,42.42,40.08,41.62,6149323.0,255067810.61
2020-02-20,42.0,43.2,41.3,42.39,6105883.0,258374944.95
2020-02-21,41.98,43.37,41.5,41.75,6321820.0,268622870.07
2020-02-24,41.6,42.97,40.58,42.28,5823854.0,244337385.7
2020-02-25,41.5,42.67,39.33,42.67,5556504.0,229853406.9
2020-02-26,43.13,46.94,43.11,46.94,10254081.0,475643339.5
