date,open,high,low,close,volume,money
2019-05-27,4.93,5.04,4.84,5.02,6300367.0,31228582.0
2019-05-28,5.02,5.1,4.94,4.99,4213292.0,21133315.0
2019-05-29,4.96,5.03,4.94,4.98,4291344.0,21433060.0
2019-05-30,5.01,5.02,4.86,4.95,5339861.0,26298926.0
2019-05-31,4.96,4.98,4.9,4.93,3333849.0,16502707.0
2019-06-03,4.97,4.97,4.84,4.89,5382319.0,26357813.0
2019-06-04,4.88,4.93,4.83,4.86,3758043.0,18321446.0
2019-06-05,4.89,4.96,4.89,4.93,3983734.0,19643991.0
2019-06-06,4.97,4.97,4.61,4.61,7051411.0,33734463.0
2019-06-10,4.63,5.07,4.63,5.07,10963298.0,53999224.0
2019-06-11,5.13,5.58,4.99,5.32,21503778.0,114620481.0
2019-06-12,5.23,5.44,5.16,5.2,12251822.0,64341746.0
2019-06-13,5.17,5.37,5.17,5.33,11011823.0,58458736.0
2019-06-14,5.33,5.43,5.12,5.14,9009144.0,47308166.0
2019-06-17,5.21,5.65,5.16,5.59,21624549.0,118417985.0
2019-06-18,5.51,5.53,5.28,5.33,13516613.0,72573812.0
2019-06-19,5.45,5.5,5.16,5.22,12664626.0,67506393.0
2019-06-20,5.24,5.42,5.22,5.28,13862012.0,73196651.0
2019-06-21,5.29,5.37,5.24,5.32,9686977.0,51284698.0
2019-06-24,5.32,5.33,5.2,5.27,6663102.0,34911884.0
2019-06-25,5.26,5.31,5.16,5.2,6066929.0,31563799.0
2019-06-26,5.14,5.24,5.14,5.21,3550803.0,18491408.0
2019-06-27,5.19,5.3,5.15,5.19,5934718.0,30980694.0
2019-06-28,5.25,5.25,4.89,5.01,9473833.0,47558550.0
2019-07-01,5.12,5.51,5.1,5.51,23186178.0,125265362.0
2019-07-02,5.58,5.67,5.39,5.42,22631025.0,124472058.0
2019-07-03,5.42,5.44,5.27,5.36,11649348.0,62205824.0
2019-07-04,5.37,5.38,5.19,5.21,9023732.0,47511957.0
2019-07-05,5.24,5.35,5.2,5.3,8055000.0,42585708.0
2019-07-08,5.33,5.34,5.06,5.07,8994767.0,46106988.0
2019-07-09,5.06,5.16,5.01,5.14,5439171.0,27782824.0
2019-07-10,5.14,5.2,5.06,5.12,6616016.0,33918497.0
2019-07-11,5.06,5.17,5.02,5.06,4163258.0,21190928.0
2019-07-12,5.06,5.19,5.06,5.1,5048500.0,25853044.0
2019-07-15,5.09,5.2,4.91,5.16,7099192.0,36206428.0
2019-07-16,5.15,5.33,5.13,5.27,7688650.0,40253060.0
2019-07-17,5.25,5.8,5.21,5.8,24192382.0,137521655.0
2019-07-18,5.85,5.85,5.49,5.64,39533636.0,223231516.0
2019-07-19,5.51,5.69,5.51,5.52,19638401.0,109578727.0
2019-07-22,5.5,5.76,5.31,5.68,22531145.0,125046796.0
2019-07-23,5.55,5.96,5.55,5.76,24891907.0,143783309.0
2019-07-24,5.75,5.87,5.61,5.75,19057835.0,109514961.0
2019-07-25,5.7,5.9,5.64,5.87,21535544.0,125080415.0
2019-07-26,5.8,5.81,5.65,5.68,14131575.0,80736968.0
2019-07-29,5.65,5.71,5.52,5.62,10888561.0,61007541.0
2019-07-30,5.6,5.68,5.49,5.5,10365902.0,57641125.0
2019-07-31,5.5,5.55,5.42,5.5,7504571.0,41170027.0
2019-08-01,5.74,5.88,5.53,5.62,15527358.0,88047385.0
2019-08-02,5.38,5.46,5.31,5.35,14662917.0,78816183.0
2019-08-05,5.31,5.37,5.06,5.08,16133166.0,83583265.0
2019-08-06,4.95,5.02,4.7,4.86,17494921.0,84806129.0
2019-08-07,4.88,4.91,4.67,4.75,13908904.0,66158963.0
2019-08-08,4.77,4.82,4.72,4.78,6254805.0,29891710.0
2019-08-09,4.85,4.86,4.65,4.66,7069200.0,33468447.0
2019-08-12,4.71,4.8,4.68,4.79,5696788.0,27004723.0
2019-08-13,4.74,4.74,4.62,4.66,12095595.0,56323606.0
2019-08-14,4.73,4.91,4.68,4.72,24740321.0,117204505.0
2019-08-15,4.49,4.63,4.25,4.58,20832601.0,93941170.0
2019-08-16,4.59,4.67,4.58,4.59,12138573.0,56085019.0
2019-08-19,4.63,4.74,4.61,4.72,11521558.0,53996094.0
2019-08-20,4.73,4.84,4.69,4.75,13236888.0,63279391.0
2019-08-21,4.8,4.81,4.68,4.7,7601603.0,35889539.0
2019-08-22,4.77,4.78,4.65,4.72,9402279.0,44374546.0
2019-08-23,4.72,4.72,4.57,4.68,9182380.0,42825717.0
2019-08-26,4.56,4.62,4.5,4.58,7180393.0,32828414.0
2019-08-27,4.61,4.78,4.58,4.72,10697793.0,50397018.0
2019-08-28,4.75,4.76,4.68,4.68,5656000.0,26615442.0
2019-08-29,4.71,4.73,4.6,4.61,6832572.0,31718452.0
2019-08-30,4.66,4.74,4.54,4.56,10356725.0,48052717.0
2019-09-02,4.52,4.83,4.52,4.76,16951950.0,80225135.0
2019-09-03,4.79,4.99,4.78,4.85,17187748.0,83603258.0
2019-09-04,4.87,4.98,4.83,4.93,13594618.0,66852167.0
2019-09-05,4.94,5.14,4.94,5.0,17843050.0,89983651.0
2019-09-06,5.01,5.11,4.98,5.07,12298700.0,62159804.0
2019-09-09,5.1,5.27,5.07,5.24,13891858.0,71976032.0
2019-09-10,5.28,5.28,5.12,5.21,10926211.0,56765101.0
2019-09-11,5.26,5.41,5.14,5.17,12484894.0,65359806.0
2019-09-12,5.22,5.25,5.1,5.19,7033814.0,36418898.0
2019-09-16,5.22,5.32,5.18,5.25,9326187.0,49066838.0
2019-09-17,5.22,5.29,5.07,5.1,8964928.0,46234664.0
2019-09-18,5.14,5.17,5.07,5.08,7623489.0,38992201.0
2019-09-19,5.13,5.15,5.06,5.13,6223568.0,31788248.0
2019-09-20,5.23,5.27,5.17,5.22,8626511.0,44969315.0
2019-09-23,5.22,5.3,5.09,5.22,7786948.0,40213678.0
2019-09-24,5.2,5.2,4.95,4.96,18239378.0,92306409.0
2019-09-25,4.96,5.12,4.77,4.83,21667550.0,106948240.0
2019-09-26,4.7,4.87,4.63,4.65,16962477.0,80066392.0
2019-09-27,4.69,4.74,4.54,4.65,15032650.0,69883412.0
2019-09-30,4.66,4.67,4.51,4.52,12683120.0,58003098.0
2019-10-08,4.56,4.65,4.54,4.56,9041631.0,41518141.0
2019-10-09,4.55,4.68,4.42,4.65,10713630.0,49070742.0
2019-10-10,4.66,4.86,4.63,4.84,10820841.0,51599432.0
2019-10-11,4.82,4.94,4.74,4.78,8995447.0,43227296.0
2019-10-14,4.81,4.94,4.78,4.89,8769901.0,42862093.0
2019-10-15,4.88,4.93,4.77,4.81,11308126.0,54576091.0
2019-10-16,4.82,4.85,4.71,4.71,6011201.0,28621958.0
2019-10-17,4.69,4.76,4.65,4.68,6448591.0,30314504.0
2019-10-18,4.7,4.7,4.54,4.58,8424764.0,38741511.0
2019-10-21,4.6,4.6,4.46,4.54,8574337.0,38734402.0
2019-10-22,4.56,4.67,4.54,4.63,6617253.0,30492178.0
2019-10-23,4.65,4.69,4.53,4.56,7540115.0,34671270.0
2019-10-24,4.54,4.63,4.5,4.55,6227957.0,28407835.0
2019-10-25,4.55,4.6,4.48,4.58,8980311.0,40900459.0
2019-10-28,4.6,4.72,4.6,4.7,10084782.0,47186900.0
2019-10-29,4.69,4.72,4.63,4.64,6675825.0,31181799.0
2019-10-30,4.55,4.55,4.35,4.38,17879023.0,79249155.0
2019-10-31,4.37,4.42,4.31,4.34,7157427.0,31298455.0
2019-11-01,4.3,4.37,4.28,4.32,8686620.0,37559165.0
2019-11-04,4.34,4.37,4.19,4.34,16316326.0,69579034.0
2019-11-05,4.29,4.29,4.16,4.18,12608800.0,53079993.0
2019-11-06,4.18,4.22,4.08,4.1,11857222.0,49279849.0
2019-11-07,4.1,4.21,4.1,4.14,7176823.0,29777770.0
2019-11-08,4.17,4.24,4.11,4.13,7004683.0,29155923.0
2019-11-11,4.11,4.13,3.94,4.02,14471689.0,58189091.0
2019-11-12,3.99,4.01,3.87,3.94,10806386.0,42516023.0
2019-11-13,3.95,3.96,3.83,3.87,10406644.0,40348241.0
2019-11-14,3.88,3.9,3.82,3.84,7832846.0,30248478.0
2019-11-15,3.85,3.89,3.79,3.8,6951669.0,26676094.0
2019-11-18,3.81,3.94,3.8,3.87,10879015.0,42139837.0
2019-11-19,3.88,3.94,3.84,3.93,7623398.0,29744631.0
2019-11-20,3.94,3.96,3.86,3.87,5788104.0,22594117.0
2019-11-21,3.84,3.92,3.84,3.91,5845880.0,22774217.0
2019-11-22,3.94,3.97,3.81,3.84,8520402.0,33052247.0
2019-11-25,3.85,3.92,3.82,3.85,9359621.0,36157415.0
2019-11-26,3.86,4.0,3.84,3.91,15355505.0,60405943.0
2019-11-27,3.82,3.84,3.77,3.8,13568299.0,51526351.0
2019-11-28,3.8,3.82,3.71,3.73,8109300.0,30443215.0
2019-11-29,3.75,3.79,3.71,3.77,7251470.0,27258136.0
2019-12-02,3.78,3.87,3.77,3.82,8455964.0,32335261.0
2019-12-03,3.79,3.85,3.71,3.8,18278959.0,68989661.0
2019-12-04,3.77,3.84,3.65,3.71,29109869.0,108827235.0
2019-12-05,3.71,3.71,3.55,3.59,40547237.0,146128283.0
2019-12-06,3.56,3.58,3.47,3.5,43088894.0,150946041.0
2019-12-09,3.51,3.63,3.47,3.62,34092629.0,121689345.0
2019-12-10,3.63,3.67,3.58,3.63,22014786.0,79715887.0
2019-12-11,3.62,3.65,3.56,3.58,14592863.0,52382714.0
2019-12-12,3.57,3.59,3.54,3.56,12407935.0,44181403.0
2019-12-13,3.58,3.59,3.52,3.58,17571201.0,62490762.0
2019-12-16,3.59,3.94,3.58,3.94,21286116.0,80553365.0
2019-12-17,4.33,4.33,4.33,4.33,7537500.0,32637375.0
2019-12-18,4.51,4.76,4.42,4.76,153597268.0,713053600.0
2019-12-19,4.7,4.75,4.46,4.47,114144677.0,520702961.0
2019-12-20,4.43,4.58,4.31,4.35,75851420.0,336999927.0
2019-12-23,4.54,4.65,4.33,4.36,81093216.0,363635914.0
2019-12-24,4.25,4.36,4.11,4.34,59501449.0,251517964.0
2019-12-25,4.28,4.46,4.23,4.4,58941356.0,256157746.0
2019-12-26,4.39,4.52,4.34,4.42,52228895.0,231271857.0
2019-12-27,4.4,4.42,4.23,4.24,45076622.0,194537468.0
