date,open,close,high,low,volume,code
2018-02-06,4.69,4.76,4.85,4.65,7037500.0,601988
2018-02-07,4.82,4.59,4.87,4.52,6581771.0,601988
2018-02-08,4.52,4.42,4.54,4.33,4964236.0,601988
2018-02-09,4.3,4.29,4.34,4.12,5639129.0,601988
2018-02-12,4.25,4.21,4.3,4.19,2519895.0,601988
2018-02-13,4.24,4.28,4.35,4.23,2606230.0,601988
2018-02-14,4.27,4.28,4.3,4.22,1350048.0,601988
2018-02-22,4.34,4.37,4.4,4.34,1790126.0,601988
2018-02-23,4.39,4.39,4.4,4.34,1463267.0,601988
2018-02-26,4.42,4.4,4.48,4.36,2272187.0,601988
2018-02-27,4.4,4.32,4.4,4.3,2495357.0,601988
2018-02-28,4.27,4.23,4.28,4.21,1851422.0,601988
2018-03-01,4.2,4.22,4.26,4.19,1608001.0,601988
2018-03-02,4.2,4.17,4.2,4.14,1803034.0,601988
2018-03-05,4.16,4.16,4.19,4.12,1463341.0,601988
2018-03-06,4.17,4.19,4.21,4.13,1868327.0,601988
2018-03-07,4.21,4.22,4.27,4.2,2149248.0,601988
2018-03-08,4.22,4.2,4.22,4.18,1080629.0,601988
2018-03-09,4.2,4.18,4.22,4.16,1331359.0,601988
2018-03-12,4.2,4.17,4.21,4.16,1991254.0,601988
2018-03-13,4.18,4.19,4.24,4.18,1832753.0,601988
2018-03-14,4.18,4.17,4.19,4.15,1201859.0,601988
2018-03-15,4.15,4.17,4.19,4.15,1135393.0,601988
2018-03-16,4.17,4.13,4.18,4.13,1251893.0,601988
2018-03-19,4.13,4.13,4.14,4.12,684128.0,601988
2018-03-20,4.12,4.17,4.18,4.11,1066488.0,601988
2018-03-21,4.17,4.17,4.19,4.16,1206873.0,601988
2018-03-22,4.16,4.17,4.18,4.13,1230672.0,601988
2018-03-23,4.11,4.12,4.13,4.03,3621844.0,601988
2018-03-26,4.08,3.99,4.09,3.96,2212064.0,601988
2018-03-27,4.03,3.97,4.04,3.93,2961754.0,601988
2018-03-28,3.93,3.96,4.0,3.93,1908746.0,601988
2018-03-29,3.96,3.99,4.02,3.91,2646958.0,601988
2018-03-30,3.99,3.93,3.99,3.91,3145108.0,601988
2018-04-02,3.93,3.88,3.94,3.87,2407525.0,601988
2018-04-03,3.85,3.88,3.89,3.83,1665745.0,601988
2018-04-04,3.87,3.85,3.89,3.85,1359653.0,601988
2018-04-09,3.84,3.85,3.86,3.82,1414437.0,601988
2018-04-10,3.85,3.93,3.94,3.83,2067727.0,601988
2018-04-11,3.93,3.97,4.01,3.9,3647440.0,601988
2018-04-12,3.95,3.91,3.96,3.9,1738530.0,601988
2018-04-13,3.95,3.87,3.95,3.86,1727824.0,601988
2018-04-16,3.85,3.77,3.86,3.76,2728660.0,601988
2018-04-17,3.77,3.76,3.8,3.75,1233442.0,601988
2018-04-18,3.81,3.78,3.81,3.76,1498720.0,601988
2018-04-19,3.78,3.79,3.81,3.77,1143258.0,601988
2018-04-20,3.78,3.78,3.79,3.74,1355795.0,601988
2018-04-23,3.76,3.78,3.8,3.76,882178.0,601988
2018-04-24,3.78,3.84,3.86,3.78,1755279.0,601988
2018-04-25,3.82,3.8,3.83,3.79,912539.0,601988
2018-04-26,3.81,3.79,3.81,3.76,1241289.0,601988
2018-04-27,3.8,3.82,3.82,3.77,843452.0,601988
