date,open,high,low,close,volume,money
2019-07-23,4.87,4.98,4.87,4.97,5956756.0,29495179.0
2019-07-24,4.97,5.07,4.97,5.02,8453205.0,42476883.0
2019-07-25,5.02,5.04,4.96,5.03,7420577.0,37150401.0
2019-07-26,5.0,5.05,4.94,4.99,7162639.0,35716854.0
2019-07-29,4.98,5.02,4.93,4.95,6547042.0,32475536.0
2019-07-30,4.96,5.01,4.93,4.98,6899700.0,34356724.0
2019-07-31,4.94,4.96,4.85,4.88,9763902.0,47614561.0
2019-08-01,4.8,4.84,4.62,4.68,14776668.0,69598753.0
2019-08-02,4.57,4.89,4.51,4.8,21788584.0,102947592.0
2019-08-05,4.74,4.8,4.62,4.65,12506304.0,58687418.0
2019-08-06,4.36,4.54,4.19,4.34,19019311.0,82782900.0
2019-08-07,4.37,4.48,4.37,4.45,14304515.0,63480150.0
2019-08-08,4.44,4.51,4.43,4.47,9460500.0,42340673.0
2019-08-09,4.55,4.63,4.39,4.4,12070390.0,54443858.0
2019-08-12,4.42,4.5,4.34,4.5,12444021.0,55149562.0
2019-08-13,4.46,4.53,4.42,4.45,7621318.0,34025268.0
2019-08-14,4.5,4.55,4.43,4.44,8130561.0,36525731.0
2019-08-15,4.29,4.51,4.26,4.49,9173105.0,40371246.0
2019-08-16,4.47,4.54,4.44,4.48,9693625.0,43568057.0
2019-08-19,4.49,4.59,4.48,4.58,12895753.0,58673219.0
2019-08-20,4.6,4.63,4.51,4.53,11522424.0,52622862.0
2019-08-21,4.53,4.54,4.43,4.47,11323179.0,50728156.0
2019-08-22,4.5,4.52,4.43,4.48,8946237.0,39940563.0
2019-08-23,4.46,4.53,4.45,4.48,8211502.0,36893792.0
2019-08-26,4.37,4.41,4.3,4.38,9450895.0,41192706.0
2019-08-27,4.38,4.52,4.37,4.48,11826459.0,52685218.0
2019-08-28,4.46,4.66,4.45,4.56,18327267.0,83509779.0
2019-08-29,4.52,4.56,4.46,4.47,12644159.0,56779137.0
2019-08-30,4.5,4.58,4.31,4.35,14787405.0,65277359.0
2019-09-02,4.38,4.53,4.38,4.52,17619933.0,78858363.0
2019-09-03,4.51,4.62,4.5,4.61,17874072.0,82005306.0
2019-09-04,4.57,4.67,4.54,4.64,15107778.0,69740019.0
2019-09-05,4.7,4.78,4.6,4.63,19172428.0,90084373.0
2019-09-06,4.67,4.7,4.57,4.62,20092940.0,93062406.0
2019-09-09,4.62,4.7,4.61,4.7,16238370.0,75662307.0
2019-09-10,4.7,4.71,4.62,4.67,13393853.0,62451181.0
2019-09-11,4.71,4.91,4.67,4.74,33715267.0,161500068.0
2019-09-12,4.77,4.79,4.62,4.67,19846865.0,92625395.0
2019-09-16,4.69,4.7,4.61,4.63,13399944.0,62223850.0
2019-09-17,4.62,4.65,4.41,4.44,22702969.0,101943398.0
2019-09-18,4.46,4.49,4.42,4.43,10820436.0,48182246.0
2019-09-19,4.45,4.47,4.35,4.44,11450668.0,50475741.0
2019-09-20,4.45,4.52,4.42,4.48,11782951.0,52752677.0
2019-09-23,4.49,4.49,4.34,4.39,12897677.0,56542178.0
2019-09-24,4.4,4.47,4.39,4.41,11637652.0,51563277.0
2019-09-25,4.41,4.42,4.2,4.22,17504416.0,74719886.0
2019-09-26,4.24,4.27,4.04,4.09,13172638.0,54637703.0
2019-09-27,4.09,4.14,4.06,4.09,9247725.0,37902876.0
2019-09-30,4.09,4.09,4.0,4.02,7962900.0,32174559.0
2019-10-08,4.04,4.09,3.99,4.07,9214242.0,37324151.0
2019-10-09,4.03,4.16,4.01,4.15,9455570.0,38685055.0
2019-10-10,4.14,4.28,4.11,4.28,14114879.0,59905089.0
2019-10-11,4.34,4.43,4.31,4.35,17379349.0,75840870.0
2019-10-14,4.35,4.56,4.35,4.47,18409437.0,82541379.0
2019-10-15,4.49,4.55,4.41,4.47,21063656.0,94550248.0
2019-10-16,4.48,4.54,4.43,4.5,13060350.0,58779227.0
2019-10-17,4.45,4.51,4.42,4.47,9161240.0,41009806.0
2019-10-18,4.52,4.53,4.38,4.44,11545187.0,51512568.0
2019-10-21,4.38,4.43,4.25,4.37,11214959.0,48566401.0
2019-10-22,4.36,4.39,4.25,4.29,10307450.0,44403333.0
2019-10-23,4.31,4.35,4.24,4.28,7942511.0,34035821.0
2019-10-24,4.25,4.26,4.16,4.21,8348971.0,35087533.0
2019-10-25,4.23,4.23,4.1,4.22,8440336.0,35152758.0
2019-10-28,4.26,4.28,4.19,4.23,11145706.0,47073474.0
2019-10-29,4.17,4.21,4.1,4.12,11748863.0,48702072.0
2019-10-30,4.1,4.12,4.0,4.02,10658926.0,42959946.0
2019-10-31,4.01,4.08,4.01,4.04,7236067.0,29226307.0
2019-11-01,4.01,4.16,3.99,4.11,11981565.0,49119918.0
2019-11-04,4.15,4.15,4.09,4.13,6487406.0,26771090.0
2019-11-05,4.14,4.26,4.07,4.12,8351153.0,34457208.0
2019-11-06,4.1,4.11,4.01,4.02,8153800.0,33035335.0
2019-11-07,4.02,4.06,4.0,4.03,5453621.0,21977535.0
2019-11-08,4.04,4.12,4.03,4.05,6805196.0,27662495.0
2019-11-11,4.02,4.05,3.91,3.93,8413422.0,33557618.0
2019-11-12,3.95,3.99,3.91,3.95,4734450.0,18663784.0
2019-11-13,3.96,4.04,3.9,4.04,7410722.0,29445461.0
2019-11-14,4.01,4.18,4.0,4.08,10026421.0,41125862.0
2019-11-15,4.05,4.19,4.03,4.09,14603981.0,60108049.0
2019-11-18,4.07,4.13,4.04,4.08,8262012.0,33729593.0
