date,open,high,low,close,volume,money
2019-08-08,6.15,6.19,6.11,6.16,2999230.0,18435199.0
2019-08-09,6.16,6.23,6.09,6.11,3631480.0,22350015.0
2019-08-12,6.12,6.19,6.12,6.19,3224536.0,19853199.0
2019-08-13,6.13,6.16,6.07,6.09,2569691.0,15669271.0
2019-08-14,6.2,6.2,6.1,6.12,2524232.0,15513244.0
2019-08-15,6.0,6.08,5.95,6.08,3470977.0,20880504.0
2019-08-16,6.11,6.15,6.06,6.12,3647300.0,22301243.0
2019-08-19,6.14,6.32,6.14,6.3,4723523.0,29525905.0
2019-08-20,6.32,6.38,6.28,6.33,3668631.0,23243641.0
2019-08-21,6.34,6.44,6.29,6.42,3765831.0,24032286.0
2019-08-22,6.45,6.47,6.34,6.38,2735149.0,17451233.0
2019-08-23,6.37,6.43,6.34,6.35,2720500.0,17359667.0
2019-08-26,6.25,6.43,6.21,6.36,3823750.0,24277107.0
2019-08-27,6.42,6.55,6.35,6.5,5364045.0,34811288.0
2019-08-28,6.64,6.76,6.48,6.54,7735704.0,50989486.0
2019-08-29,6.5,6.68,6.5,6.54,5424947.0,35771386.0
2019-08-30,6.62,6.85,6.45,6.63,7253277.0,48187978.0
2019-09-02,6.58,6.72,6.49,6.68,7409411.0,49080910.0
2019-09-03,6.7,6.71,6.6,6.67,4628325.0,30841946.0
2019-09-04,6.66,6.74,6.61,6.71,4645484.0,31031564.0
2019-09-05,6.71,6.85,6.71,6.75,5705365.0,38693030.0
2019-09-06,6.82,6.93,6.82,6.86,5782375.0,39675284.0
2019-09-09,6.9,7.05,6.86,7.05,7649506.0,53538555.0
2019-09-10,7.06,7.06,6.92,6.97,5615107.0,39121938.0
2019-09-11,6.99,7.05,6.93,6.97,5167966.0,36113479.0
2019-09-12,7.0,7.0,6.87,6.97,3688151.0,25638092.0
2019-09-16,6.98,7.02,6.91,6.97,5293672.0,36993550.0
2019-09-17,6.95,6.98,6.7,6.77,5833602.0,39811477.0
2019-09-18,6.89,6.89,6.76,6.87,4358865.0,29749109.0
2019-09-19,6.87,6.92,6.65,6.72,5472884.0,36744642.0
