date,open,close,high,low,volume,code
2015-12-23,8.189,9.831,9.831,8.189,46.0,300492
2015-12-24,10.81,10.81,10.81,10.81,5.0,300492
2015-12-25,11.888,11.888,11.888,11.888,22.0,300492
2015-12-28,13.075,13.075,13.075,13.075,25.0,300492
2015-12-29,14.381,14.381,14.381,14.381,70.0,300492
2015-12-30,15.815,15.815,15.815,15.815,25.0,300492
2015-12-31,17.397,17.397,17.397,17.397,79.0,300492
2016-01-04,19.138,19.138,19.138,19.138,158.0,300492
2016-01-05,21.057,21.057,21.057,21.057,320.0,300492
2016-01-06,23.163,23.163,23.163,23.163,76.0,300492
2016-01-07,25.478,25.478,25.478,25.478,137.0,300492
2016-01-08,28.029,28.029,28.029,28.029,480.0,300492
2016-01-11,30.828,30.828,30.828,30.828,1031.0,300492
2016-01-12,33.914,33.914,33.914,33.914,1077.0,300492
2016-01-13,37.306,37.306,37.306,37.306,3905.0,300492
2016-01-14,41.035,41.035,41.035,41.035,16005.0,300492
2016-01-15,45.14,45.14,45.14,45.14,36233.0,300492
2016-01-18,45.051,45.08,49.432,45.051,132421.0,300492
2016-01-19,44.714,47.365,49.135,42.726,126843.0,300492
2016-01-20,45.891,42.627,47.751,42.627,106691.0,300492
2016-01-21,41.539,38.384,43.142,38.365,82014.0,300492
2016-01-22,39.413,38.918,41.193,37.959,56886.0,300492
2016-01-25,39.413,40.056,40.748,38.632,41043.0,300492
2016-01-26,39.423,36.05,39.423,36.05,34961.0,300492
2016-01-27,34.636,36.367,36.574,33.627,49798.0,300492
2016-01-28,35.427,34.349,39.077,34.221,41930.0,300492
2016-01-29,34.349,36.001,37.583,34.171,46204.0,300492
2016-02-01,35.556,34.082,36.861,33.143,43108.0,300492
2016-02-02,33.627,35.328,36.149,33.34,39923.0,300492
2016-02-03,34.626,36.743,37.287,34.132,36737.0,300492
2016-02-04,36.594,38.849,40.046,36.406,52052.0,300492
2016-02-05,38.572,36.396,39.819,36.278,33846.0,300492
2016-02-15,34.132,36.525,37.583,34.132,26109.0,300492
2016-02-16,36.426,38.098,39.067,36.396,43036.0,300492
2016-02-17,38.068,38.968,39.759,37.692,46787.0,300492
2016-02-18,39.611,41.569,42.746,39.008,64059.0,300492
2016-02-19,40.541,40.076,41.025,39.413,42840.0,300492
2016-02-22,40.926,41.777,41.994,40.303,40626.0,300492
2016-02-23,41.777,42.321,43.191,40.976,43932.0,300492
2016-02-24,41.668,39.225,41.935,38.157,50533.0,300492
2016-02-25,38.839,35.299,39.126,35.299,34993.0,300492
2016-02-26,35.506,34.458,35.932,33.627,24306.0,300492
2016-02-29,33.726,31.026,34.448,31.016,39368.0,300492
2016-03-01,31.036,31.402,32.391,29.473,38424.0,300492
2016-03-02,31.412,33.034,33.311,31.115,32250.0,300492
2016-03-03,32.806,32.678,34.814,32.638,35171.0,300492
2016-03-04,32.243,30.156,32.935,29.671,30150.0,300492
2016-03-07,31.056,30.996,31.946,30.462,22425.0,300492
2016-03-08,30.64,31.155,31.481,28.83,26073.0,300492
2016-03-09,30.561,31.046,31.975,30.175,28788.0,300492
2016-03-10,30.808,30.373,31.441,30.166,17621.0,300492
2016-03-11,29.968,30.769,31.026,29.671,17582.0,300492
2016-03-14,31.412,32.262,33.152,31.313,32595.0,300492
2016-03-15,31.936,31.619,32.49,31.55,20609.0,300492
2016-03-16,32.144,31.234,32.559,31.066,18465.0,300492
2016-03-17,31.333,32.885,33.123,31.293,32741.0,300492
2016-03-18,32.905,34.488,34.814,32.737,40112.0,300492
2016-03-21,34.992,35.407,35.457,34.319,35528.0,300492
2016-03-22,34.923,35.121,36.693,34.498,34876.0,300492
2016-03-23,35.111,36.199,36.367,35.111,32013.0,300492
2016-03-24,35.684,34.755,36.1,34.695,31767.0,300492
2016-03-25,34.517,34.913,35.012,34.221,20454.0,300492
2016-03-28,35.16,35.477,36.594,35.111,27129.0,300492
2016-03-29,35.022,33.973,35.318,33.627,22475.0,300492
2016-03-30,34.31,35.605,35.605,34.31,24290.0,300492
2016-03-31,35.754,36.357,37.089,35.754,38660.0,300492
