date,open,close,high,low,volume,code
2017-11-15,27.69,28.03,28.06,27.1,16583.0,002781
2017-11-16,27.76,28.17,28.56,27.76,14246.0,002781
2017-11-17,28.19,26.3,28.22,25.9,14131.0,002781
2017-11-20,26.03,25.52,26.45,24.83,10546.0,002781
2017-11-21,25.37,24.75,25.58,24.69,11920.0,002781
2017-11-22,24.7,24.1,24.86,24.0,11405.0,002781
2017-11-23,24.2,23.97,24.47,23.89,9031.0,002781
2017-11-24,23.98,23.85,24.15,23.8,7276.0,002781
2017-11-27,23.83,23.64,23.99,23.3,7409.0,002781
2017-11-28,23.64,24.25,24.4,23.64,7086.0,002781
2017-11-29,24.04,24.26,24.55,24.04,7450.0,002781
2017-11-30,24.3,23.8,24.43,23.8,5613.0,002781
2017-12-01,23.98,24.22,24.25,23.71,5335.0,002781
2017-12-04,24.22,22.97,24.46,22.96,8315.0,002781
2017-12-05,22.97,23.32,23.74,22.97,9698.0,002781
2017-12-06,23.23,22.78,23.5,22.22,10767.0,002781
2017-12-07,22.79,22.41,22.79,22.4,5992.0,002781
2017-12-08,22.37,23.25,23.42,22.37,8848.0,002781
2017-12-11,23.16,24.29,24.43,23.13,10872.0,002781
2017-12-12,24.38,23.82,24.38,23.77,7202.0,002781
2017-12-13,23.65,24.01,24.41,23.65,5894.0,002781
2017-12-14,24.25,24.17,24.27,23.9,6837.0,002781
2017-12-15,24.3,24.0,24.3,24.0,4698.0,002781
2017-12-18,24.05,23.56,24.16,23.56,3848.0,002781
2017-12-19,23.74,24.29,24.4,23.61,5226.0,002781
2017-12-20,24.29,24.18,24.35,23.8,5654.0,002781
2017-12-21,24.08,23.96,24.27,23.63,4130.0,002781
2017-12-22,23.98,23.86,24.12,23.81,2995.0,002781
2017-12-25,23.9,24.33,24.34,23.85,11146.0,002781
2017-12-26,24.34,24.36,24.38,24.01,4657.0,002781
2017-12-27,24.38,23.9,24.51,23.88,5070.0,002781
2017-12-28,23.95,23.69,24.1,23.6,5452.0,002781
2017-12-29,23.66,23.61,23.88,23.45,4794.0,002781
2018-01-02,23.78,24.04,24.14,23.68,6902.0,002781
2018-01-03,24.03,24.22,24.3,23.84,5469.0,002781
2018-01-04,24.17,23.98,24.3,23.85,6705.0,002781
2018-01-05,24.13,24.05,24.18,23.95,4173.0,002781
2018-01-08,24.05,24.32,24.35,23.91,8082.0,002781
2018-01-09,24.46,24.99,25.46,24.14,18591.0,002781
2018-01-10,24.8,24.02,24.95,23.96,14182.0,002781
2018-01-11,24.0,24.06,24.23,23.52,6927.0,002781
2018-01-12,24.09,23.51,24.11,23.48,7694.0,002781
2018-01-15,23.51,22.15,23.6,22.0,14404.0,002781
2018-01-16,22.1,21.99,22.24,21.95,9194.0,002781
2018-01-17,22.15,21.72,22.15,21.41,12089.0,002781
2018-01-18,21.72,21.99,22.09,21.46,8393.0,002781
2018-01-19,22.06,21.74,22.08,21.68,7339.0,002781
2018-01-22,21.73,21.67,21.9,21.0,12794.0,002781
2018-01-23,21.65,21.39,21.83,21.32,9722.0,002781
2018-01-24,21.3,21.72,21.89,21.26,8977.0,002781
2018-01-25,21.79,21.42,21.96,21.4,8295.0,002781
2018-01-26,21.38,21.4,21.66,21.16,8242.0,002781
2018-01-29,21.44,20.84,21.51,20.41,14839.0,002781
